date,value
1/12/2021,3835859
1/12/2021,5488697
1/13/2021,4249795
1/13/2021,6025872
1/15/2021,5122662
1/15/2021,7153268
1/19/2021,6828561
1/19/2021,8874811
1/20/2021,7239750
1/20/2021,9281063
1/21/2021,7724683
1/21/2021,9817027
1/22/2021,8407909
1/22/2021,10695066
1/23/2021,9061112
1/23/2021,11471457
1/24/2021,9689497
1/24/2021,12153536
1/25/2021,10084432
1/25/2021,12551999
1/26/2021,10431466
1/26/2021,13009981
1/27/2021,11001991
1/27/2021,13550835
1/28/2021,11737592
1/28/2021,14355980
1/29/2021,12619210
1/29/2021,15164858
1/30/2021,13499942
1/30/2021,15977015
1/31/2021,14246089
1/31/2021,16775916
2/1/2021,14756609
2/1/2021,17364398
2/2/2021,15006565
2/2/2021,17672866
2/3/2021,15567188
2/3/2021,18209204
2/4/2021,16260102
2/4/2021,18841309
2/5/2021,17133644
2/5/2021,19582865
2/6/2021,18336515
2/6/2021,20598212
2/7/2021,19485089
2/7/2021,21622193
2/8/2021,20066305
2/8/2021,22247484
2/9/2021,20416765
2/9/2021,22685406
2/10/2021,21189540
2/10/2021,23475749
2/11/2021,22038088
2/11/2021,24246868
2/12/2021,23111715
2/12/2021,25192628
2/13/2021,24297615
2/13/2021,26237417
2/14/2021,25505313
2/14/2021,27271797
2/16/2021,26738383
2/16/2021,28374410
2/17/2021,27287041
2/17/2021,28886690
2/18/2021,28043413
2/18/2021,29585627
2/19/2021,29044336
2/19/2021,30431247
2/20/2021,29909492
2/20/2021,31270062
2/21/2021,30747615
2/21/2021,32232422
2/22/2021,31212925
2/22/2021,32853883
2/23/2021,31569021
2/23/2021,33352170
2/24/2021,32194245
2/24/2021,34159027
2/25/2021,33066503
2/25/2021,35095003
2/26/2021,34181226
2/26/2021,36159403
2/27/2021,35422721
2/27/2021,37269195
2/28/2021,36694414
2/28/2021,38426567
3/1/2021,37522293
3/1/2021,39262524
3/2/2021,38319678
3/2/2021,40196532
3/3/2021,39248180
3/3/2021,41175807
3/4/2021,40261524
3/4/2021,42193285
3/5/2021,41507728
3/5/2021,43373717
3/6/2021,42977312
3/6/2021,44774584
3/7/2021,44195607
3/7/2021,45932122
3/8/2021,208590
3/8/2021,44936695
3/8/2021,46824290
3/9/2021,308181
3/9/2021,45635740
3/9/2021,47628226
3/10/2021,458911
3/10/2021,46535646
3/10/2021,48605159
3/11/2021,638469
3/11/2021,47733656
3/11/2021,49708920
3/12/2021,873726
3/12/2021,49169578
3/12/2021,50960400
3/13/2021,1189207
3/13/2021,51292130
3/13/2021,53096054
3/14/2021,1273958
3/14/2021,51951820
3/14/2021,53708091
3/15/2021,1428465
3/15/2021,52883263
3/15/2021,54643581
3/16/2021,1569675
3/16/2021,53647312
3/16/2021,55393141
3/17/2021,1766131
3/17/2021,54643195
3/17/2021,56499018
3/18/2021,1911052
3/18/2021,55811286
3/18/2021,57876875
3/19/2021,2025349
3/19/2021,56941640
3/19/2021,59214724
3/20/2021,2163681
3/20/2021,58294583
3/20/2021,60849627
3/21/2021,2298614
3/21/2021,59518840
3/21/2021,62529418
3/22/2021,2406337
3/22/2021,60275003
3/22/2021,63693721
3/23/2021,2489153
3/23/2021,60913292
3/23/2021,64679659
3/24/2021,2622182
3/24/2021,61719260
3/24/2021,65995871
3/25/2021,2734367
3/25/2021,62877755
3/25/2021,67555076
3/26/2021,2863246
3/26/2021,64313721
3/26/2021,69368232
3/27/2021,2982453
